Sr.No,Washer_Dryer,AC,Parking,Fireplace,Dishwasher,Hardwood_floors,Roofdeck,Storage
514,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
515,Yes,Yes,Yes,Yes,Yes,No,No,No
516,Yes,Yes,Yes,Yes,Yes,No,No,No
517,Yes,Yes,Yes,Yes,Yes,No,No,No
518,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
519,Yes,Yes,Yes,Yes,Yes,No,No,No
520,Yes,Yes,Yes,Yes,Yes,No,No,No
521,Yes,Yes,Yes,Yes,Yes,No,No,No
522,Yes,Yes,Yes,Yes,Yes,No,No,No
523,Yes,Yes,Yes,Yes,No,No,Yes,No
524,Yes,Yes,Yes,Yes,Yes,No,No,No
525,Yes,Yes,Yes,Yes,Yes,No,No,No
526,Yes,Yes,Yes,Yes,Yes,No,No,No
527,No,No,Yes,No,Yes,No,No,No
528,Yes,Yes,Yes,Yes,Yes,No,No,No
529,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
530,No,Yes,Yes,Yes,Yes,No,No,No
531,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
532,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
533,Yes,Yes,Yes,Yes,Yes,No,No,No
534,No,Yes,No,No,No,No,No,No
535,Yes,Yes,Yes,Yes,Yes,No,No,No
536,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
537,No,Yes,Yes,Yes,Yes,Yes,Yes,No
538,Yes,Yes,Yes,Yes,Yes,No,No,No
539,Yes,No,Yes,Yes,Yes,No,Yes,No
540,No,No,Yes,No,Yes,No,No,No
541,No,Yes,No,No,No,No,No,No
542,No,No,No,No,No,Yes,No,Yes
543,No,Yes,Yes,Yes,Yes,Yes,No,No
544,No,Yes,Yes,Yes,No,Yes,No,No
545,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
546,Yes,Yes,Yes,No,Yes,Yes,No,No
547,No,No,No,No,No,No,No,No
548,No,Yes,No,No,No,No,No,No
549,No,Yes,Yes,Yes,Yes,Yes,Yes,No
550,Yes,Yes,Yes,Yes,Yes,No,No,No
551,Yes,Yes,Yes,Yes,Yes,No,No,No
552,No,Yes,Yes,Yes,No,No,Yes,No
553,No,Yes,Yes,Yes,No,No,No,No
554,No,No,Yes,Yes,Yes,No,No,No
555,No,Yes,Yes,No,Yes,Yes,No,No
556,Yes,Yes,Yes,Yes,Yes,No,No,No
557,No,Yes,Yes,No,Yes,Yes,Yes,Yes
558,Yes,Yes,No,Yes,Yes,No,No,Yes
559,Yes,Yes,Yes,Yes,Yes,No,No,No
560,Yes,Yes,Yes,Yes,Yes,No,No,No
561,No,Yes,No,Yes,No,No,Yes,No
562,Yes,Yes,Yes,No,Yes,No,No,No
563,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
564,No,Yes,Yes,Yes,Yes,No,No,No
565,Yes,Yes,Yes,Yes,Yes,No,No,No
566,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
567,No,Yes,Yes,Yes,Yes,No,Yes,No
568,No,Yes,Yes,Yes,Yes,Yes,Yes,No
569,Yes,Yes,Yes,Yes,Yes,No,Yes,No
570,No,No,No,No,No,No,No,No
571,No,No,No,No,No,No,No,No
572,No,Yes,No,Yes,No,Yes,No,No
573,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
574,No,Yes,Yes,Yes,Yes,Yes,Yes,No
575,No,No,Yes,No,No,No,No,No
576,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
577,Yes,Yes,Yes,Yes,Yes,No,No,No
578,No,Yes,No,No,No,No,No,No
579,No,Yes,Yes,Yes,No,No,No,No
580,No,Yes,No,Yes,Yes,No,Yes,No
581,Yes,Yes,Yes,Yes,Yes,No,No,No
582,No,Yes,Yes,Yes,Yes,No,Yes,No
583,No,No,No,No,No,No,No,No
584,Yes,Yes,No,No,Yes,No,No,Yes
585,No,Yes,Yes,Yes,Yes,Yes,No,No
586,Yes,Yes,Yes,Yes,Yes,No,No,No
587,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
588,No,No,No,No,No,No,No,No
589,Yes,Yes,Yes,Yes,Yes,Yes,No,No
590,Yes,Yes,Yes,Yes,Yes,No,No,No
591,Yes,Yes,Yes,Yes,Yes,No,No,No
592,Yes,Yes,Yes,Yes,Yes,No,No,No
593,No,Yes,No,No,No,No,No,No
594,No,Yes,Yes,No,No,No,No,No
595,Yes,Yes,Yes,No,Yes,Yes,No,No
596,No,Yes,Yes,No,No,No,No,No
597,Yes,Yes,Yes,No,Yes,No,No,Yes
598,No,No,No,No,No,No,No,No
599,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
600,No,Yes,Yes,Yes,Yes,Yes,Yes,No
601,Yes,Yes,Yes,Yes,Yes,No,No,No
602,Yes,Yes,Yes,Yes,Yes,No,No,No
603,Yes,Yes,Yes,Yes,Yes,No,No,No
604,No,No,No,No,No,No,No,No
605,Yes,Yes,Yes,Yes,Yes,No,No,No
606,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
607,No,Yes,No,No,No,No,No,No
608,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
609,Yes,No,No,Yes,Yes,Yes,No,No
610,No,Yes,Yes,Yes,Yes,Yes,Yes,No
611,No,Yes,Yes,Yes,No,Yes,No,No
612,Yes,Yes,Yes,Yes,Yes,No,No,No
613,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
614,Yes,Yes,Yes,Yes,Yes,No,No,No
615,No,No,No,No,Yes,No,No,No
616,Yes,Yes,Yes,Yes,Yes,No,No,Yes
617,No,Yes,No,No,No,Yes,No,No
618,Yes,Yes,Yes,Yes,Yes,No,Yes,No
619,Yes,Yes,Yes,Yes,Yes,No,No,No
620,No,Yes,No,Yes,No,No,No,No
621,Yes,Yes,No,No,No,No,No,No
622,Yes,Yes,Yes,Yes,Yes,No,No,No
623,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
624,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
625,Yes,Yes,Yes,Yes,Yes,No,No,Yes
626,No,Yes,Yes,Yes,Yes,Yes,Yes,No
627,Yes,Yes,Yes,Yes,Yes,No,No,No
628,Yes,Yes,Yes,Yes,Yes,No,Yes,No
629,Yes,Yes,Yes,Yes,Yes,Yes,No,No
630,No,No,No,No,No,No,No,No
631,Yes,Yes,Yes,Yes,Yes,Yes,No,No
632,Yes,Yes,Yes,Yes,Yes,No,No,No
633,Yes,Yes,Yes,Yes,Yes,No,Yes,No
634,No,Yes,Yes,Yes,Yes,No,No,No
635,Yes,Yes,No,No,No,No,No,No
636,No,Yes,Yes,No,Yes,Yes,Yes,No
637,Yes,No,Yes,No,Yes,No,No,No
638,Yes,Yes,No,No,No,No,No,No
639,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
640,Yes,Yes,Yes,Yes,Yes,Yes,No,No
641,Yes,Yes,Yes,Yes,Yes,No,No,No
642,No,Yes,Yes,Yes,Yes,No,No,No
643,Yes,Yes,Yes,Yes,Yes,No,Yes,No
644,Yes,Yes,Yes,Yes,Yes,No,No,No
645,No,Yes,No,No,No,No,No,No
646,Yes,Yes,Yes,Yes,Yes,No,No,No
647,Yes,Yes,Yes,Yes,Yes,Yes,No,No
648,No,Yes,Yes,Yes,Yes,Yes,Yes,No
649,No,Yes,Yes,No,No,No,No,Yes
650,No,Yes,No,No,No,No,No,No
651,No,No,No,No,No,No,No,No
652,Yes,Yes,Yes,Yes,Yes,No,No,No
653,No,Yes,Yes,Yes,Yes,Yes,No,No
654,No,Yes,Yes,Yes,Yes,Yes,Yes,No
655,No,No,No,No,No,No,No,No
656,Yes,Yes,Yes,Yes,Yes,No,No,No
657,Yes,Yes,Yes,Yes,Yes,No,Yes,No
658,No,Yes,Yes,Yes,Yes,No,No,No
659,Yes,Yes,No,No,No,No,No,No
660,No,Yes,Yes,Yes,Yes,No,No,No
661,Yes,Yes,Yes,Yes,Yes,No,No,No
662,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
663,No,Yes,Yes,Yes,Yes,No,No,Yes
664,No,No,Yes,No,No,No,No,No
665,Yes,Yes,Yes,Yes,Yes,No,Yes,No
666,No,Yes,No,No,No,No,No,No
667,No,Yes,Yes,Yes,No,Yes,No,Yes
668,Yes,Yes,Yes,Yes,Yes,No,No,No
669,No,Yes,Yes,Yes,Yes,Yes,Yes,No
670,Yes,Yes,Yes,Yes,Yes,No,No,No
671,Yes,Yes,Yes,Yes,Yes,No,No,No
672,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
673,Yes,Yes,No,Yes,Yes,Yes,No,Yes
674,No,Yes,Yes,Yes,No,No,Yes,No
675,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
676,Yes,Yes,Yes,Yes,Yes,No,Yes,No
677,Yes,Yes,Yes,Yes,Yes,No,No,No
678,No,Yes,Yes,Yes,No,No,No,No
679,Yes,Yes,Yes,Yes,Yes,No,No,No
680,No,Yes,Yes,Yes,Yes,No,Yes,No
681,No,Yes,Yes,Yes,Yes,Yes,No,Yes
682,Yes,Yes,Yes,Yes,Yes,No,No,No
683,No,Yes,Yes,Yes,Yes,No,No,Yes
684,Yes,Yes,No,Yes,Yes,No,No,Yes
685,No,Yes,Yes,Yes,Yes,No,No,No
686,Yes,Yes,Yes,Yes,Yes,No,No,No
687,No,No,Yes,No,No,No,No,No
688,No,Yes,Yes,Yes,No,No,Yes,No
689,No,Yes,No,No,No,No,No,No
690,Yes,Yes,Yes,Yes,Yes,No,No,No
691,No,Yes,Yes,Yes,Yes,No,Yes,Yes
692,Yes,Yes,Yes,Yes,Yes,No,No,No
693,Yes,Yes,Yes,Yes,Yes,No,No,No
694,No,Yes,No,Yes,No,No,Yes,No
695,No,Yes,No,Yes,Yes,No,Yes,No
696,Yes,Yes,Yes,Yes,Yes,No,No,No
697,Yes,Yes,Yes,Yes,Yes,No,No,Yes
698,No,Yes,Yes,Yes,Yes,No,No,No
699,No,Yes,Yes,Yes,Yes,Yes,No,No
700,No,Yes,Yes,Yes,Yes,Yes,Yes,No
701,No,Yes,Yes,Yes,Yes,Yes,Yes,No
702,Yes,Yes,Yes,Yes,Yes,No,No,No
703,Yes,Yes,Yes,Yes,Yes,No,No,No
704,No,Yes,Yes,Yes,Yes,No,Yes,No
705,No,Yes,Yes,Yes,Yes,Yes,No,Yes
706,Yes,Yes,Yes,Yes,No,No,Yes,Yes
707,No,Yes,Yes,Yes,Yes,No,No,No
708,Yes,Yes,Yes,Yes,Yes,No,No,No
709,Yes,Yes,Yes,Yes,Yes,No,No,No
710,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
711,Yes,Yes,Yes,Yes,Yes,No,No,No
712,Yes,Yes,Yes,Yes,Yes,No,No,No
713,No,Yes,Yes,No,Yes,Yes,Yes,No
714,No,Yes,Yes,Yes,Yes,Yes,Yes,No
715,Yes,Yes,Yes,Yes,Yes,No,No,No
716,Yes,No,No,No,No,No,No,No
717,No,Yes,Yes,Yes,Yes,No,No,No
718,Yes,Yes,Yes,Yes,Yes,No,No,No
719,Yes,No,Yes,No,No,No,No,No
720,Yes,Yes,Yes,Yes,No,No,Yes,No
721,No,Yes,Yes,Yes,Yes,No,Yes,No
722,Yes,Yes,Yes,Yes,Yes,No,No,No
723,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
724,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
725,Yes,Yes,Yes,Yes,Yes,No,No,No
726,Yes,Yes,Yes,Yes,Yes,No,No,No
727,Yes,Yes,Yes,Yes,Yes,Yes,No,No
728,No,Yes,Yes,Yes,Yes,No,Yes,No
729,Yes,Yes,Yes,Yes,Yes,No,No,No
730,No,Yes,Yes,Yes,Yes,No,Yes,Yes
731,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
732,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
733,Yes,Yes,Yes,Yes,Yes,No,No,No
734,No,Yes,No,No,No,No,No,No
735,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
736,Yes,Yes,Yes,Yes,Yes,No,No,No
737,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
738,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
739,No,Yes,Yes,Yes,Yes,Yes,No,No
740,No,No,No,No,No,No,No,No
741,Yes,Yes,Yes,Yes,Yes,No,No,No
742,No,Yes,Yes,Yes,Yes,No,Yes,No
743,Yes,No,No,No,Yes,No,No,No
744,Yes,Yes,Yes,Yes,Yes,No,No,No
745,No,Yes,No,No,No,No,No,No
746,No,Yes,Yes,Yes,Yes,Yes,No,No
747,Yes,Yes,Yes,Yes,Yes,No,No,No
748,No,Yes,Yes,Yes,Yes,No,Yes,No
749,No,No,No,No,No,No,No,No
750,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
751,Yes,Yes,Yes,Yes,Yes,Yes,No,No
752,No,No,Yes,No,No,No,No,No
753,No,Yes,Yes,Yes,Yes,No,No,No
754,No,No,No,No,No,Yes,No,Yes
755,No,Yes,Yes,Yes,Yes,Yes,Yes,No
756,No,Yes,Yes,Yes,Yes,No,Yes,No
757,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
758,Yes,Yes,Yes,Yes,Yes,No,No,No
759,No,Yes,No,No,No,No,No,No
760,No,No,Yes,No,No,Yes,No,No
761,No,No,Yes,Yes,No,No,No,No
762,Yes,Yes,Yes,Yes,Yes,No,No,No
763,No,Yes,Yes,Yes,Yes,No,Yes,No
764,Yes,Yes,Yes,Yes,Yes,No,No,No
765,No,No,Yes,Yes,Yes,No,No,No
766,No,Yes,No,Yes,Yes,No,No,No
767,Yes,Yes,Yes,Yes,Yes,No,No,No
768,Yes,Yes,Yes,Yes,Yes,No,No,No
769,Yes,Yes,Yes,Yes,Yes,No,No,No
770,Yes,Yes,Yes,Yes,Yes,No,No,No
771,Yes,Yes,Yes,Yes,Yes,No,No,No
772,Yes,Yes,Yes,Yes,Yes,No,No,No
773,No,Yes,Yes,Yes,Yes,Yes,Yes,No
774,No,No,Yes,No,No,No,No,No
775,No,Yes,Yes,Yes,Yes,Yes,Yes,No
776,No,Yes,No,No,No,No,No,No
777,Yes,No,No,No,No,No,No,No
778,Yes,Yes,Yes,No,Yes,Yes,No,No
779,Yes,Yes,No,Yes,Yes,No,Yes,No
780,Yes,Yes,Yes,Yes,Yes,No,No,No
781,No,Yes,No,No,No,No,No,No
782,Yes,Yes,Yes,Yes,Yes,No,No,No
783,Yes,Yes,Yes,Yes,Yes,No,Yes,No
784,No,No,Yes,No,No,No,No,No
785,Yes,Yes,Yes,Yes,Yes,No,No,No
786,Yes,Yes,Yes,Yes,Yes,No,No,No
787,No,Yes,Yes,Yes,Yes,Yes,Yes,No
788,Yes,Yes,Yes,Yes,Yes,No,No,No
789,No,Yes,No,No,No,No,No,No
790,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
791,Yes,Yes,Yes,Yes,Yes,No,No,No
792,Yes,Yes,Yes,Yes,Yes,No,No,Yes
793,Yes,Yes,No,Yes,Yes,Yes,Yes,No
794,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
795,Yes,Yes,Yes,Yes,No,Yes,No,No
796,No,Yes,Yes,Yes,Yes,No,No,No
797,Yes,Yes,No,Yes,Yes,Yes,No,No
798,Yes,Yes,No,No,Yes,Yes,No,Yes
799,No,Yes,No,No,No,No,No,No
800,Yes,Yes,Yes,No,Yes,No,No,No
801,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
802,Yes,No,No,No,No,No,No,No
803,Yes,Yes,No,No,No,Yes,No,No
804,No,No,No,No,No,No,No,No
805,Yes,Yes,Yes,Yes,Yes,Yes,No,No
806,Yes,Yes,Yes,Yes,Yes,No,No,No
807,Yes,Yes,Yes,Yes,No,No,No,No
808,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
809,No,Yes,Yes,No,No,No,No,No
810,Yes,Yes,No,Yes,Yes,No,No,No
811,Yes,Yes,Yes,Yes,Yes,No,No,No
812,No,No,No,No,No,No,No,No
813,No,No,Yes,No,No,No,No,No
814,Yes,Yes,Yes,Yes,Yes,No,No,No
815,No,No,No,No,No,No,No,No
816,No,Yes,No,No,No,No,No,No
817,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
818,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
819,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
820,No,No,No,Yes,Yes,Yes,No,Yes
821,Yes,No,Yes,No,No,No,No,No
822,Yes,Yes,Yes,Yes,No,Yes,No,No
823,Yes,Yes,Yes,Yes,No,Yes,No,Yes
824,Yes,Yes,Yes,No,No,Yes,No,No
825,Yes,Yes,Yes,Yes,No,No,No,No
826,Yes,Yes,No,Yes,Yes,Yes,No,No
827,Yes,No,Yes,Yes,Yes,Yes,Yes,No
828,No,Yes,Yes,No,No,No,No,No
829,Yes,Yes,Yes,Yes,Yes,No,No,No
830,Yes,Yes,No,Yes,Yes,Yes,Yes,No
831,No,Yes,No,No,No,No,No,No
832,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
833,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
834,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
835,No,No,Yes,No,No,No,No,No
836,No,No,Yes,No,No,No,No,No
837,Yes,Yes,Yes,Yes,Yes,No,No,No
838,Yes,Yes,Yes,No,No,No,No,No
839,Yes,Yes,No,No,No,No,No,No
840,Yes,Yes,No,No,No,Yes,No,No
841,Yes,Yes,Yes,Yes,Yes,No,No,Yes
842,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
843,No,No,Yes,No,No,No,No,No
844,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
845,Yes,Yes,No,Yes,No,No,No,No
846,Yes,Yes,Yes,Yes,No,Yes,No,No
847,Yes,Yes,No,Yes,No,Yes,No,No
848,No,Yes,Yes,No,No,No,No,No
849,Yes,Yes,No,Yes,Yes,Yes,Yes,No
850,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
851,Yes,Yes,No,Yes,Yes,Yes,Yes,No
852,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
853,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
854,Yes,Yes,Yes,Yes,Yes,No,No,No
855,No,Yes,Yes,Yes,No,No,No,No
856,No,Yes,Yes,No,No,No,No,No
857,No,Yes,No,No,No,No,No,No
858,No,Yes,Yes,No,No,No,No,Yes
859,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
860,Yes,Yes,No,Yes,Yes,No,No,No
861,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
862,No,Yes,Yes,No,No,No,No,No
863,No,Yes,Yes,Yes,Yes,No,No,No
864,No,Yes,Yes,No,No,No,No,No
865,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
866,No,No,Yes,Yes,No,No,No,No
867,No,Yes,Yes,No,No,No,No,No
868,Yes,Yes,Yes,No,No,Yes,Yes,Yes
869,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
870,Yes,No,No,No,No,No,No,No
871,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
872,Yes,Yes,No,No,No,No,No,No
873,No,Yes,No,No,No,No,No,No
874,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
875,Yes,No,Yes,No,No,No,No,No
876,No,No,Yes,Yes,No,No,No,No
877,No,Yes,Yes,No,No,No,Yes,No
878,Yes,Yes,Yes,Yes,Yes,No,Yes,No
879,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
880,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
881,Yes,Yes,Yes,Yes,No,Yes,No,No
882,Yes,No,Yes,No,No,Yes,Yes,No
883,Yes,Yes,Yes,No,No,Yes,No,No
884,Yes,Yes,Yes,No,Yes,No,Yes,Yes
885,No,Yes,Yes,Yes,No,Yes,No,No
886,Yes,Yes,No,No,No,No,No,No
887,No,No,No,Yes,No,Yes,Yes,No
888,Yes,Yes,Yes,Yes,Yes,No,No,No
889,No,Yes,No,No,No,No,No,No
890,No,Yes,No,No,No,No,No,No
891,Yes,Yes,No,Yes,Yes,Yes,No,No
892,No,No,No,No,No,No,No,No
893,Yes,Yes,No,Yes,Yes,Yes,No,No
894,Yes,Yes,Yes,Yes,Yes,Yes,No,No
895,No,No,No,Yes,No,No,No,No
896,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
897,No,Yes,Yes,No,No,No,No,No
898,No,Yes,No,No,No,No,No,No
899,Yes,Yes,Yes,No,Yes,Yes,Yes,No
900,No,Yes,Yes,Yes,No,Yes,No,No
901,Yes,Yes,No,No,No,No,No,No
902,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
903,Yes,Yes,Yes,Yes,Yes,No,No,No
904,No,Yes,No,No,No,No,No,No
905,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
906,No,No,No,No,No,No,No,No
907,Yes,Yes,Yes,No,No,No,No,No
908,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
909,Yes,Yes,No,No,No,No,No,No
910,Yes,No,Yes,Yes,Yes,Yes,No,Yes
911,Yes,Yes,No,No,No,No,No,No
912,No,Yes,No,No,No,No,No,No
913,Yes,No,Yes,No,No,No,No,No
914,No,Yes,Yes,No,No,No,No,No
915,Yes,Yes,No,No,Yes,No,Yes,No
916,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
917,No,No,No,No,No,No,No,No
918,Yes,Yes,Yes,No,No,Yes,No,No
919,No,Yes,Yes,Yes,No,No,No,No
920,Yes,Yes,Yes,Yes,Yes,No,No,No
921,Yes,Yes,Yes,Yes,No,Yes,No,No
922,Yes,Yes,No,No,Yes,Yes,No,No
923,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
924,Yes,Yes,Yes,Yes,Yes,Yes,No,No
925,Yes,Yes,No,No,No,Yes,No,No
926,No,Yes,Yes,Yes,No,No,No,No
927,No,No,No,No,No,No,No,No
928,Yes,Yes,No,No,No,No,No,No
929,Yes,No,Yes,No,No,Yes,Yes,Yes
930,No,No,No,No,No,No,No,No
931,No,Yes,No,No,No,No,No,No
932,Yes,Yes,Yes,No,No,No,No,No
933,Yes,Yes,No,Yes,Yes,Yes,No,Yes
934,No,Yes,Yes,Yes,No,No,No,No
935,Yes,Yes,Yes,Yes,Yes,No,No,No
936,No,Yes,No,No,No,No,No,No
937,Yes,Yes,No,No,No,No,No,No
938,Yes,Yes,Yes,Yes,Yes,No,No,No
939,No,Yes,Yes,Yes,No,No,No,No
940,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
941,Yes,Yes,Yes,Yes,No,No,Yes,No
942,Yes,Yes,Yes,No,No,No,No,No
943,No,Yes,Yes,No,No,No,Yes,No
944,Yes,Yes,Yes,Yes,Yes,Yes,No,No
945,No,Yes,Yes,Yes,No,No,No,No
946,Yes,Yes,Yes,Yes,No,No,No,No
947,Yes,Yes,Yes,Yes,Yes,Yes,No,No
948,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
949,No,Yes,Yes,Yes,Yes,No,No,No
950,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
951,Yes,Yes,Yes,Yes,Yes,No,No,No
952,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
953,Yes,Yes,Yes,Yes,Yes,No,No,No
954,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
955,Yes,Yes,Yes,No,No,No,No,No
956,Yes,Yes,Yes,Yes,Yes,No,Yes,No
957,No,Yes,Yes,No,No,No,No,No
958,Yes,Yes,No,Yes,Yes,Yes,Yes,No
959,Yes,Yes,Yes,Yes,Yes,Yes,No,No
960,No,Yes,No,Yes,No,Yes,No,Yes
961,Yes,Yes,No,Yes,Yes,Yes,No,No
962,Yes,Yes,Yes,Yes,Yes,No,No,No
963,Yes,Yes,Yes,Yes,No,No,No,No
964,No,Yes,Yes,Yes,Yes,No,Yes,No
965,No,Yes,No,No,No,No,No,No
966,No,Yes,Yes,Yes,Yes,Yes,No,No
967,Yes,Yes,Yes,Yes,Yes,No,No,Yes
968,No,No,No,No,No,Yes,No,No
969,Yes,Yes,Yes,Yes,Yes,No,No,No
970,No,Yes,Yes,No,No,No,No,Yes
971,Yes,Yes,No,Yes,Yes,Yes,No,Yes
972,Yes,No,Yes,Yes,No,Yes,No,No
973,Yes,Yes,Yes,Yes,Yes,Yes,No,No
974,Yes,Yes,No,Yes,Yes,Yes,No,No
975,No,Yes,Yes,No,Yes,No,No,No
976,Yes,Yes,Yes,Yes,Yes,Yes,No,No
977,Yes,Yes,Yes,No,No,Yes,No,No
978,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
979,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
980,Yes,Yes,Yes,Yes,Yes,Yes,No,No
981,Yes,Yes,No,Yes,Yes,Yes,Yes,No
982,No,Yes,Yes,No,No,No,No,No
983,Yes,Yes,No,Yes,No,No,No,Yes
984,Yes,Yes,Yes,Yes,Yes,Yes,No,No
985,No,Yes,No,No,No,No,No,No
986,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
987,No,Yes,No,No,No,No,No,No
988,No,Yes,Yes,No,No,No,No,No
989,No,No,No,Yes,No,Yes,Yes,No
990,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
991,Yes,Yes,Yes,Yes,Yes,No,No,No
992,Yes,Yes,Yes,No,No,No,No,Yes
993,No,Yes,Yes,Yes,Yes,Yes,No,No
994,Yes,Yes,No,No,Yes,Yes,No,Yes
995,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
996,No,No,No,No,No,No,No,No
997,No,Yes,Yes,No,No,No,No,Yes
998,Yes,Yes,No,No,No,Yes,No,No
999,Yes,Yes,Yes,No,No,Yes,Yes,Yes
1000,Yes,No,Yes,No,No,Yes,No,No
1001,No,Yes,Yes,Yes,No,No,No,No
1002,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1003,No,Yes,No,No,No,No,No,No
1004,No,Yes,Yes,No,No,No,No,No
1005,No,Yes,Yes,No,No,Yes,No,No
1006,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
1007,No,Yes,Yes,No,No,No,Yes,No
1008,Yes,Yes,Yes,Yes,No,Yes,No,Yes
1009,Yes,Yes,Yes,No,Yes,Yes,Yes,No
1010,Yes,Yes,No,No,No,Yes,No,No
1011,No,Yes,Yes,No,No,No,No,No
1012,No,Yes,No,No,No,No,No,No
1013,Yes,Yes,No,No,No,No,No,No
1014,No,No,No,No,No,No,No,No
1015,Yes,Yes,No,Yes,No,Yes,No,No
1016,No,Yes,Yes,Yes,Yes,Yes,No,No
1017,No,Yes,No,No,No,No,No,No
1018,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
1019,No,Yes,No,No,No,No,No,No
1020,No,Yes,Yes,No,Yes,Yes,No,Yes
1021,No,No,No,No,No,No,No,No
1022,Yes,Yes,Yes,No,No,Yes,No,No
1023,Yes,Yes,Yes,Yes,Yes,Yes,No,No
1024,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1025,No,Yes,No,Yes,Yes,No,Yes,No
1026,Yes,Yes,Yes,No,No,No,No,No
1027,Yes,Yes,Yes,No,No,Yes,No,No
1028,Yes,Yes,Yes,No,No,No,No,No
1029,No,No,Yes,No,No,No,No,No
1030,Yes,Yes,Yes,Yes,Yes,No,No,No
1031,Yes,Yes,Yes,No,Yes,Yes,No,Yes
1032,Yes,Yes,No,Yes,Yes,No,No,Yes
1033,No,No,Yes,No,No,No,No,No
1034,No,Yes,Yes,No,No,No,No,No
1035,Yes,Yes,No,Yes,No,Yes,Yes,Yes
