Sr.No,No_of_Bed,No_of_Bathroom,Area,Pets_allowed
200,1.0,1.0,425.0,No
201,3.0,2.0,1580.0,No
202,4.0,3.5,3509.0,No
203,,,,No
204,1.0,1.0,590.0,Yes
205,2.0,2.0,1133.0,Yes
206,1.0,,610.0,Yes
207,2.0,1.0,872.0,No
208,3.0,2.0,1648.0,No
209,1.0,1.0,,Yes
210,1.0,1.0,656.0,Yes
211,4.0,3.0,2205.0,No
212,1.0,1.5,912.0,No
213,3.0,2.0,1780.0,No
214,3.0,2.0,1281.0,No
215,2.0,2.0,1373.0,No
216,4.0,3.5,2177.0,No
217,3.0,2.0,,No
218,2.0,1.0,1100.0,Yes
219,2.0,2.0,1351.0,No
220,2.0,2.0,980.0,No
221,2.0,2.0,1200.0,No
222,2.0,2.0,1380.0,Yes
223,2.0,2.5,1100.0,No
224,2.0,2.0,1321.0,No
225,3.0,2.0,,Yes
226,2.0,1.0,398.0,Yes
227,1.0,1.5,1125.0,No
228,,,,No
229,1.0,1.0,500.0,Yes
230,3.0,2.0,1055.0,No
231,5.0,5.0,,No
232,3.0,2.0,,No
233,,,,No
234,3.0,2.0,1628.0,No
235,4.0,2.5,2283.0,Yes
236,2.0,2.0,1189.0,Yes
237,2.0,2.0,2647.0,No
238,3.0,2.0,1961.0,Yes
239,6.0,6.0,5145.0,No
240,1.0,1.0,,Yes
241,5.0,3.5,2710.0,No
242,3.0,2.0,1482.0,No
243,1.0,1.0,409.0,Yes
244,4.0,2.0,1195.0,No
245,4.0,2.0,2101.0,No
246,3.0,3.0,1505.0,Yes
247,1.0,1.0,718.0,Yes
248,4.0,2.0,2197.0,No
249,,1.0,578.0,Yes
250,1.0,1.0,500.0,Yes
251,5.0,2.5,2720.0,No
252,2.0,1.0,,No
253,2.0,2.0,1049.0,No
254,1.0,1.0,650.0,Yes
255,2.0,2.0,998.0,No
256,3.0,2.5,2906.0,No
257,3.0,2.0,1149.0,No
258,2.0,1.0,857.0,No
259,3.0,2.0,1350.0,No
260,4.0,3.0,2600.0,No
261,2.0,2.0,1077.0,No
262,,,,No
263,2.0,2.0,1264.0,No
264,,,,No
265,2.0,1.0,1300.0,Yes
266,2.0,2.0,1800.0,No
267,2.0,1.0,1903.0,No
268,3.0,1.0,1300.0,Yes
269,4.0,2.0,10763.0,No
270,2.0,1.5,1400.0,No
271,5.0,2.0,,No
272,1.0,1.5,745.0,No
273,1.0,1.0,1688.0,No
274,3.0,1.0,2388.0,No
275,3.0,1.0,1000.0,No
276,1.0,1.0,,Yes
277,3.0,1.0,1200.0,No
278,3.0,1.0,,No
279,2.0,2.0,40292.0,No
280,1.0,1.0,2250.0,No
281,3.0,1.0,,Yes
282,2.0,2.0,990.0,No
283,,0.5,3348.0,No
284,3.0,3.0,999.0,No
285,,1.0,400.0,No
286,,1.0,477.0,No
287,1.0,1.0,650.0,Yes
288,2.0,1.0,1760.0,No
289,3.0,1.0,1222.0,No
290,1.0,1.0,4503.0,No
291,1.0,1.0,626.0,No
292,2.0,1.0,8005.0,No
293,3.0,1.0,,No
294,3.0,2.0,1222.0,No
295,1.0,1.0,3987.0,No
296,3.0,1.0,1296.0,No
297,2.0,1.0,,No
298,3.0,1.0,2908.0,No
299,2.0,1.0,1344.0,No
300,3.0,1.5,2000.0,No
301,1.0,1.0,1650.0,Yes
302,1.0,2.0,1400.0,No
