Sr.No,No_of_Bed,No_of_Bathroom,Area,Pets_allowed
865,2.0,2.0,1156.0,Yes
866,2.0,1.0,,No
867,1.0,1.0,600.0,No
868,1.0,1.0,,No
869,,1.0,490.0,Yes
870,1.0,1.0,773.0,No
871,,1.0,513.0,Yes
872,3.0,1.5,2464.0,No
873,4.0,3.0,1950.0,No
874,1.0,1.0,902.0,Yes
875,1.0,1.0,735.0,No
876,2.0,1.0,1025.0,No
877,2.0,2.0,1150.0,No
878,1.0,1.0,,No
879,2.0,2.0,,No
880,2.0,2.0,,Yes
881,1.0,1.0,,No
882,1.0,1.0,802.0,No
883,1.0,1.0,400.0,No
884,2.0,2.0,1310.0,Yes
885,3.0,1.0,,No
886,3.0,2.0,,No
887,2.0,1.0,,No
888,,,,No
889,2.0,1.0,1148.0,No
890,3.0,1.0,,No
891,1.0,1.0,808.0,No
892,2.0,1.0,1100.0,No
893,2.0,2.0,979.0,Yes
894,2.0,2.0,890.0,No
895,2.0,1.0,,No
896,3.0,2.0,,No
897,1.0,1.0,922.0,No
898,3.0,1.0,1400.0,No
899,1.0,1.0,700.0,No
900,3.0,1.5,1400.0,No
901,3.0,2.0,1400.0,No
902,1.0,1.0,740.0,Yes
903,,1.0,500.0,No
904,1.0,1.0,,No
905,1.0,1.0,,No
906,1.0,1.0,972.0,No
907,3.0,1.0,,No
908,1.0,1.0,750.0,No
909,2.0,1.5,,No
910,1.0,1.0,,No
911,3.0,1.0,,No
912,2.0,1.0,1000.0,No
913,1.0,1.0,735.0,No
914,3.0,2.0,1438.0,No
915,1.0,1.0,,No
916,1.0,1.0,948.0,Yes
917,2.0,2.0,855.0,No
918,1.0,1.0,744.0,Yes
919,1.0,1.0,624.0,No
920,2.0,1.0,750.0,Yes
921,3.0,2.0,,No
922,2.0,2.0,1050.0,No
923,2.0,2.0,1408.0,No
924,2.0,2.0,989.0,No
925,2.0,1.0,,No
926,2.0,2.0,1100.0,No
927,3.0,2.0,1390.0,No
928,3.0,2.0,1100.0,No
929,1.0,1.5,800.0,No
930,2.0,2.0,,No
931,2.0,1.0,950.0,No
932,3.0,1.0,1000.0,No
933,2.0,2.0,,No
934,2.0,1.0,,No
935,1.0,1.0,,Yes
936,3.0,2.0,1000.0,No
937,2.0,1.0,,No
938,1.0,1.0,,Yes
939,3.0,2.0,1250.0,No
940,2.0,2.0,1096.0,Yes
941,1.0,1.0,,No
942,2.0,1.0,,No
943,2.0,1.0,980.0,No
944,2.0,2.0,,Yes
945,1.0,1.0,,No
946,2.0,1.0,,No
947,2.0,2.0,1296.0,No
948,3.0,2.0,1200.0,No
949,4.0,4.5,3800.0,No
950,1.0,1.0,705.0,No
951,,,1322.0,No
952,1.0,2.5,,No
953,2.0,1.0,,No
954,1.0,1.0,801.0,Yes
955,3.0,1.5,1250.0,No
956,1.0,1.0,867.0,No
957,1.0,1.0,758.0,No
958,,1.0,,Yes
959,6.0,3.0,2000.0,No
960,2.0,1.0,,No
961,1.0,1.0,921.0,No
962,2.0,2.0,1159.0,Yes
963,1.0,2.0,,No
964,2.0,2.0,1155.0,No
965,2.0,1.5,1200.0,No
966,2.0,1.0,,No
967,1.0,1.0,733.0,Yes
968,1.0,1.0,700.0,No
969,1.0,1.0,800.0,No
970,2.0,1.0,1032.0,No
971,1.0,1.0,989.0,No
972,1.0,1.0,,No
973,,1.0,519.0,No
974,1.0,1.0,788.0,No
975,2.0,2.0,,No
976,2.0,1.0,,No
977,1.0,1.0,1125.0,No
978,1.0,1.0,,Yes
979,3.0,2.0,1369.0,No
980,3.0,1.0,1200.0,No
981,,1.0,,Yes
982,3.0,1.5,1150.0,No
983,3.0,1.5,,No
984,2.0,2.0,1086.0,Yes
985,2.0,1.0,1000.0,No
986,1.0,1.0,530.0,Yes
987,1.0,1.0,,No
988,2.0,1.5,,No
989,2.0,1.0,900.0,No
990,2.0,2.0,,Yes
991,,,,No
992,2.0,2.0,952.0,No
993,2.0,1.0,950.0,No
994,,,,No
995,1.0,1.0,,No
996,3.0,1.0,,No
997,1.0,1.0,745.0,Yes
998,3.0,2.5,2668.0,No
999,1.0,1.0,,No
1000,1.0,1.0,628.0,Yes
1001,2.0,1.0,,No
1002,1.0,1.0,685.0,Yes
1003,2.0,2.0,931.0,No
1004,4.0,3.5,1740.0,No
1005,3.0,2.0,,No
1006,1.0,1.0,414.0,No
1007,2.0,2.0,,No
1008,5.0,2.0,984.0,Yes
1009,2.0,2.0,,No
1010,3.0,2.0,1250.0,No
1011,2.0,1.0,900.0,No
1012,1.0,1.0,680.0,No
1013,3.0,2.0,,No
1014,4.0,,,No
1015,,1.0,,No
1016,,1.0,,No
1017,2.0,1.0,,No
1018,1.0,1.0,,No
1019,2.0,2.0,1054.0,No
1020,2.0,1.0,950.0,No
1021,2.0,2.0,1315.0,No
1022,1.0,1.0,666.0,Yes
1023,4.0,3.0,2000.0,No
1024,,1.0,,Yes
1025,2.0,2.0,1105.0,Yes
1026,3.0,1.0,,No
1027,1.0,1.0,,No
1028,3.0,2.0,,No
1029,2.0,2.0,1526.0,No
1030,2.0,2.0,1345.0,Yes
1031,1.0,1.0,800.0,No
1032,2.0,1.0,,No
1033,,1.0,,No
1034,2.0,1.0,1000.0,No
1035,1.0,1.0,690.0,Yes
1036,1.0,1.0,500.0,No
1037,1.0,1.0,,No
1038,2.0,2.0,1081.0,No
1039,3.0,1.0,,No
1040,1.0,1.0,734.0,Yes
1041,3.0,1.0,,No
1042,3.0,1.0,,No
1043,2.0,2.0,1395.0,No
1044,3.0,1.0,,No
1045,1.0,1.0,753.0,No
1046,1.0,1.0,,No
1047,2.0,2.0,826.0,No
1048,1.0,1.0,733.0,Yes
1049,2.0,1.0,,No
1050,3.0,2.0,2100.0,No
1051,1.0,1.0,850.0,No
1052,3.0,2.0,1600.0,No
1053,1.0,1.0,754.0,Yes
1054,1.0,1.0,600.0,No
1055,3.0,2.0,1600.0,No
1056,3.0,2.0,1415.0,Yes
1057,5.0,4.5,4027.0,No
1058,3.0,2.5,1967.0,No
1059,2.0,2.0,984.0,No
1060,2.0,2.0,976.0,No
1061,3.0,2.0,1180.0,No
1062,4.0,2.5,2683.0,No
1063,5.0,2.5,2005.0,No
1064,2.0,2.0,1148.0,No
1065,1.0,1.5,814.0,No
1066,2.0,2.0,981.0,No
1067,2.0,2.0,1022.0,No
1068,5.0,5.5,4714.0,No
1069,4.0,4.5,3902.0,Yes
1070,4.0,3.0,2663.0,No
1071,3.0,2.5,4784.0,No
1072,1.0,1.0,525.0,No
1073,3.0,2.0,1444.0,No
1074,3.0,2.5,1656.0,No
1075,3.0,2.5,1847.0,No
1076,3.0,2.0,1952.0,No
1077,3.0,2.0,1038.0,No
1078,3.0,2.5,2231.0,No
1079,1.0,1.0,838.0,No
1080,2.0,2.0,895.0,No
1081,3.0,3.0,2664.0,No
1082,2.0,2.5,1856.0,No
1083,2.0,2.0,1653.0,No
1084,2.0,2.5,1766.0,No
1085,3.0,3.0,2413.0,No
1086,3.0,2.0,1243.0,No
1087,4.0,2.0,2004.0,No
1088,1.0,1.0,618.0,No
1089,3.0,2.5,1373.0,No
1090,3.0,2.5,1393.0,No
1091,4.0,3.0,2066.0,No
1092,6.0,3.0,3694.0,No
1093,2.0,3.0,1492.0,No
1094,1.0,1.0,778.0,No
1095,2.0,2.0,1136.0,No
1096,2.0,2.0,1232.0,No
1097,3.0,2.0,1894.0,No
1098,,,,No
1099,3.0,2.5,1156.0,No
1100,3.0,2.0,1772.0,No
1101,1.0,2.0,,No
1102,3.0,3.0,1827.0,No
1103,3.0,3.0,1708.0,No
1104,,1.0,285.0,No
1105,4.0,2.5,1701.0,No
1106,3.0,2.0,1800.0,Yes
1107,2.0,2.0,1088.0,No
1108,3.0,2.5,1882.0,No
1109,4.0,2.5,1876.0,No
1110,2.0,2.0,965.0,No
1111,3.0,2.0,1181.0,No
1112,2.0,1.0,908.0,No
1113,4.0,3.0,2526.0,No
1114,,,,No
1115,4.0,2.5,2067.0,No
1116,2.0,2.0,1968.0,No
1117,2.0,2.0,1233.0,No
1118,3.0,2.5,2177.0,No
1119,4.0,3.0,3225.0,No
1120,3.0,2.0,1706.0,No
1121,1.0,1.0,530.0,No
1122,3.0,2.5,2535.0,No
1123,3.0,2.0,1152.0,No
1124,5.0,4.5,3304.0,No
1125,5.0,4.5,4194.0,No
1126,3.0,2.5,1826.0,No
1127,1.0,1.0,,No
1128,1.0,1.0,14420.0,No
1129,3.0,2.5,1610.0,No
1130,3.0,2.5,2188.0,No
1131,4.0,2.5,2953.0,No
1132,2.0,3.0,,No
1133,,1.0,1059.0,No
1134,3.0,2.0,1620.0,No
1135,2.0,1.0,822.0,No
1136,3.0,2.0,1756.0,No
1137,6.0,4.5,3137.0,No
1138,3.0,2.0,1472.0,No
1139,3.0,3.0,2108.0,No
1140,4.0,4.0,4897.0,No
1141,1.0,1.0,,No
1142,2.0,2.5,1750.0,No
1143,3.0,2.0,1342.0,Yes
1144,1.0,3.0,,No
1145,2.0,2.0,2196.0,No
1146,3.0,3.0,1534.0,No
1147,3.0,3.0,1792.0,No
1148,2.0,1.0,778.0,No
1149,1.0,1.0,708.0,No
1150,2.0,2.0,1163.0,No
1151,3.0,2.5,1423.0,No
1152,2.0,2.5,1452.0,No
1153,4.0,3.0,2148.0,No
1154,3.0,2.5,1738.0,No
1155,6.0,3.0,2864.0,No
1156,2.0,2.0,1857.0,No
1157,1.0,1.0,707.0,No
1158,3.0,2.0,1125.0,No
1159,2.0,2.0,1657.0,No
1160,2.0,2.5,1320.0,No
1161,3.0,2.5,2353.0,No
1162,2.0,1.0,2380.0,No
1163,3.0,3.0,2316.0,No
1164,2.0,2.0,965.0,No
1165,4.0,3.0,,No
1166,3.0,2.0,2030.0,Yes
1167,4.0,3.0,1769.0,No
1168,1.0,1.0,340.0,No
1169,5.0,3.5,2642.0,No
1170,1.0,3.0,,No
1171,4.0,3.5,2982.0,No
1172,3.0,2.0,,Yes
1173,5.0,3.0,3754.0,No
1174,2.0,3.0,1261.0,No
1175,3.0,3.5,4613.0,No
1176,3.0,2.5,1370.0,No
1177,3.0,2.0,1521.0,No
1178,2.0,2.0,998.0,No
1179,2.0,2.0,1843.0,No
1180,3.0,2.0,1475.0,No
1181,4.0,3.0,2061.0,No
1182,2.0,2.0,1196.0,No
1183,3.0,2.0,1565.0,No
1184,5.0,3.0,2180.0,No
1185,2.0,2.5,1750.0,No
1186,3.0,3.0,1581.0,No
1187,3.0,2.0,1134.0,No
1188,2.0,2.0,1056.0,No
1189,3.0,2.0,1410.0,No
1190,3.0,2.5,1488.0,No
1191,3.0,2.0,1415.0,No
1192,4.0,2.5,2178.0,No
1193,4.0,3.0,3737.0,No
1194,4.0,3.0,3369.0,No
1195,3.0,2.0,1109.0,No
1196,3.0,2.5,2470.0,No
1197,2.0,1.0,794.0,No
1198,4.0,2.5,1830.0,No
1199,2.0,2.0,1636.0,No
1200,2.0,2.0,1053.0,No
1201,4.0,2.0,2020.0,No
1202,4.0,2.5,2224.0,No
1203,2.0,2.0,1073.0,No
1204,2.0,2.0,928.0,No
1205,,,,No
1206,2.0,2.0,1302.0,No
1207,2.0,2.0,1108.0,No
1208,4.0,3.0,2292.0,No
1209,2.0,2.0,1140.0,No
1210,3.0,2.0,1762.0,No
1211,4.0,3.5,3285.0,No
1212,3.0,2.5,1273.0,No
1213,4.0,2.5,2183.0,No
1214,4.0,2.5,1972.0,No
1215,1.0,1.0,813.0,No
1216,3.0,3.0,1883.0,No
1217,3.0,2.0,1159.0,No
1218,3.0,2.0,1420.0,No
1219,1.0,1.0,650.0,No
1220,2.0,1.5,1020.0,No
1221,1.0,1.0,,No
1222,4.0,3.5,2173.0,No
1223,2.0,2.0,2604.0,No
1224,1.0,2.0,,No
1225,2.0,1.0,794.0,No
1226,3.0,2.5,1717.0,No
1227,4.0,2.5,1807.0,No
1228,3.0,2.0,1456.0,No
1229,4.0,3.0,2911.0,No
1230,4.0,3.0,2721.0,No
1231,2.0,2.5,1856.0,No
1232,5.0,4.5,4388.0,No
1233,3.0,2.5,1800.0,No
1234,4.0,3.0,1696.0,No
1235,5.0,7.5,5173.0,No
1236,2.0,2.0,1164.0,No
1237,3.0,2.5,1947.0,No
1238,3.0,2.0,1109.0,No
1239,3.0,2.5,1524.0,No
1240,2.0,3.0,1473.0,No
1241,4.0,2.5,1989.0,No
1242,3.0,2.5,2512.0,No
1243,3.0,2.0,1881.0,No
1244,3.0,2.5,1796.0,No
1245,3.0,2.0,1960.0,No
1246,3.0,2.5,3100.0,Yes
1247,4.0,4.5,2503.0,No
1248,2.0,1.5,1295.0,No
1249,1.0,2.0,,No
1250,4.0,2.5,1859.0,No
1251,3.0,2.5,1499.0,No
1252,3.0,2.5,2674.0,No
1253,4.0,3.5,2202.0,No
1254,2.0,2.0,,No
1255,3.0,2.5,1492.0,No
1256,4.0,3.0,1920.0,No
1257,5.0,4.0,2901.0,No
1258,1.0,1.0,2244.0,No
1259,4.0,2.5,1788.0,No
1260,3.0,2.0,1888.0,No
1261,2.0,2.0,1022.0,No
1262,2.0,1.5,968.0,No
1263,2.0,2.0,3892.0,No
1264,5.0,3.0,3474.0,No
1265,4.0,2.5,2269.0,No
1266,3.0,2.0,1470.0,No
1267,5.0,3.0,3698.0,No
1268,2.0,2.0,1533.0,No
1269,3.0,3.0,2625.0,No
1270,2.0,2.0,1222.0,No
1271,2.0,2.0,1056.0,No
1272,3.0,2.0,1235.0,No
1273,2.0,2.0,1775.0,No
1274,2.0,2.0,1138.0,No
1275,3.0,2.0,1610.0,No
1276,2.0,2.0,,No
1277,2.0,2.0,1685.0,No
1278,3.0,2.5,1688.0,No
1279,4.0,3.5,2334.0,No
1280,3.0,2.0,1255.0,No
1281,2.0,2.0,1073.0,No
1282,3.0,2.5,2001.0,No
1283,2.0,2.0,948.0,No
1284,4.0,2.5,1476.0,No
1285,3.0,2.0,1152.0,No
1286,4.0,2.5,1406.0,No
1287,2.0,2.0,974.0,No
1288,4.0,3.5,3884.0,No
1289,1.0,1.0,897.0,No
1290,3.0,2.0,1607.0,No
1291,3.0,2.0,1502.0,No
1292,4.0,2.0,,No
1293,3.0,2.0,1282.0,No
1294,1.0,1.0,612.0,No
1295,4.0,3.0,2022.0,No
1296,2.0,2.5,1250.0,No
1297,1.0,1.0,776.0,No
1298,3.0,2.0,1268.0,No
1299,3.0,2.0,1494.0,No
1300,3.0,3.0,340.0,No
1301,4.0,2.5,2144.0,No
1302,4.0,3.5,2910.0,No
1303,3.0,2.0,1146.0,No
1304,1.0,1.0,,No
1305,2.0,2.0,1269.0,No
1306,3.0,2.5,1681.0,No
1307,1.0,1.0,2628.0,No
1308,4.0,3.0,2383.0,No
1309,,1.0,900.0,No
1310,1.0,2.0,,No
1311,4.0,5.0,4464.0,No
1312,4.0,2.5,1370.0,No
1313,2.0,2.0,908.0,No
1314,2.0,2.0,1360.0,No
1315,5.0,4.0,3531.0,No
1316,4.0,3.5,2156.0,No
1317,3.0,2.5,2041.0,No
1318,4.0,3.0,3135.0,No
1319,3.0,3.5,2051.0,No
1320,2.0,2.0,1263.0,No
1321,1.0,1.0,994.0,No
1322,,1.0,455.0,No
1323,2.0,2.0,1000.0,No
1324,3.0,2.0,2190.0,Yes
1325,1.0,1.0,583.0,No
1326,2.0,2.0,1175.0,Yes
1327,2.0,2.0,1206.0,No
1328,2.0,2.0,1203.0,No
1329,3.0,2.0,2000.0,Yes
1330,2.0,2.0,1048.0,No
1331,1.0,1.0,936.0,No
1332,2.0,2.0,1453.0,No
1333,2.0,2.0,1122.0,No
1334,3.0,1.0,1161.0,Yes
1335,2.0,3.0,1097.0,No
1336,1.0,2.0,1200.0,No
1337,3.0,2.0,1515.0,No
1338,2.0,1.0,800.0,No
1339,,,,No
1340,1.0,1.0,400.0,Yes
1341,3.0,2.0,1590.0,No
1342,3.0,,2003.0,Yes
1343,2.0,1.0,,Yes
1344,1.0,1.0,764.0,No
1345,1.0,1.0,,Yes
1346,4.0,2.0,2216.0,No
1347,2.0,2.0,1302.0,No
1348,,1.0,1.0,No
1349,1.0,1.0,,No
1350,2.0,2.0,1336.0,No
1351,2.0,2.0,926.0,No
1352,4.0,2.0,1604.0,No
1353,4.0,1.0,800.0,Yes
1354,2.0,2.0,1450.0,No
1355,1.0,1.0,,Yes
1356,2.0,2.0,1906.0,No
1357,1.0,1.0,646.0,No
1358,3.0,2.0,1500.0,No
1359,1.0,1.0,984.0,No
1360,,1.0,,No
1361,1.0,1.0,837.0,Yes
1362,3.0,2.0,1275.0,No
1363,1.0,1.0,,No
1364,2.0,2.0,,No
1365,2.0,2.0,1500.0,Yes
1366,2.0,2.0,829.0,No
1367,1.0,1.0,738.0,No
1368,2.0,2.0,,No
1369,2.0,2.0,798.0,Yes
1370,2.0,2.0,1200.0,No
1371,2.0,1.0,1580.0,No
1372,1.0,1.0,735.0,No
1373,2.0,2.0,,No
1374,1.0,1.0,795.0,No
1375,1.0,1.0,,No
1376,1.0,1.0,663.0,No
1377,2.0,3.0,1237.0,No
1378,2.0,2.0,,No
1379,1.0,2.0,810.0,No
1380,2.0,3.0,1100.0,No
1381,2.0,3.0,,No
1382,3.0,2.0,1589.0,No
1383,2.0,2.0,846.0,No
1384,1.0,1.0,,Yes
1385,1.0,1.0,675.0,Yes
1386,2.0,3.0,2180.0,No
1387,2.0,2.0,868.0,No
1388,4.0,2.5,2884.0,No
1389,1.0,1.0,538.0,No
1390,3.0,2.0,1248.0,Yes
1391,1.0,1.0,940.0,Yes
1392,3.0,2.0,1101.0,No
1393,2.0,1.0,900.0,No
1394,4.0,3.0,2150.0,Yes
1395,1.0,1.0,728.0,No
1396,3.0,2.0,1600.0,No
1397,,,,No
1398,2.0,2.0,1286.0,No
1399,3.0,2.0,,No
1400,,1.0,,No
1401,,,,No
1402,1.0,2.0,1200.0,No
1403,1.0,1.0,,No
1404,1.0,1.0,900.0,No
1405,,,420.0,No
1406,5.0,4.0,,Yes
1407,2.0,3.0,1301.0,No
1408,6.0,5.5,7129.0,No
1409,1.0,1.0,,No
1410,1.0,1.0,,No
1411,2.0,2.0,1518.0,No
1412,1.0,1.0,620.0,No
1413,3.0,3.0,690.0,No
1414,4.0,3.0,,No
1415,4.0,4.0,,No
1416,3.0,2.0,,Yes
1417,1.0,1.0,600.0,No
1418,2.0,2.0,,No
1419,1.0,1.0,,No
1420,4.0,3.0,1660.0,No
1421,1.0,1.0,709.0,No
1422,2.0,2.0,1030.0,No
1423,3.0,4.0,1832.0,No
1424,,1.0,416.0,No
1425,2.0,1.0,875.0,No
1426,1.0,1.0,,Yes
1427,2.0,1.0,1000.0,Yes
1428,1.0,1.0,,No
1429,1.0,1.0,651.0,No
1430,2.0,1.0,,No
1431,2.0,2.0,979.0,Yes
1432,2.0,1.0,800.0,Yes
1433,3.0,2.0,1350.0,No
1434,3.0,2.0,1348.0,No
1435,2.0,1.0,1000.0,No
1436,1.0,2.0,922.0,No
1437,2.0,1.0,1051.0,No
1438,2.0,2.0,1139.0,No
1439,5.0,5.0,17951.0,Yes
1440,1.0,1.0,659.0,No
1441,1.0,1.0,,No
1442,2.0,2.0,1031.0,Yes
1443,4.0,2.0,,No
1444,2.0,2.0,1251.0,No
1445,1.0,2.0,759.0,No
1446,2.0,1.0,1001.0,No
1447,,1.0,1.0,No
1448,2.0,2.5,1064.0,No
1449,2.0,2.0,1251.0,No
1450,2.0,1.0,,No
1451,1.0,1.5,840.0,Yes
1452,2.0,2.0,,No
1453,2.0,2.0,1169.0,No
1454,1.0,2.0,700.0,No
1455,1.0,2.0,1148.0,No
1456,1.0,2.0,1150.0,Yes
1457,2.0,2.0,1265.0,No
1458,1.0,1.0,389.0,No
1459,1.0,1.0,350.0,No
1460,1.0,2.0,987.0,No
1461,2.0,2.0,1076.0,Yes
1462,2.0,3.0,1753.0,No
1463,2.0,2.0,1012.0,Yes
1464,,1.0,632.0,No
1465,6.0,5.0,3210.0,Yes
1466,2.0,2.0,1114.0,Yes
1467,3.0,2.0,1421.0,No
1468,3.0,2.0,1800.0,Yes
1469,,,,No
1470,1.0,1.0,766.0,No
1471,2.0,3.0,1450.0,No
1472,,,,No
1473,2.0,1.0,,No
1474,2.0,1.0,,No
1475,2.0,2.0,,No
1476,4.0,2.0,2368.0,Yes
1477,1.0,1.0,,No
1478,1.0,1.0,301.0,No
1479,,,,No
1480,2.0,2.0,,No
1481,2.0,2.0,1331.0,Yes
1482,2.0,1.0,,No
1483,3.0,2.0,,No
1484,,1.0,450.0,No
1485,4.0,3.0,3027.0,No
1486,1.0,1.0,,No
1487,1.0,2.0,,No
1488,4.0,3.0,1552.0,No
1489,1.0,1.0,,Yes
1490,4.0,3.0,,No
1491,5.0,3.0,3154.0,No
1492,4.0,4.0,3497.0,No
1493,1.0,1.0,,No
1494,2.0,2.0,1372.0,No
1495,2.0,2.0,,No
1496,1.0,1.0,761.0,No
1497,4.0,4.0,,Yes
1498,3.0,2.0,,Yes
1499,2.0,3.0,1151.0,No
1500,3.0,2.0,1250.0,No
1501,2.0,2.5,1276.0,Yes
1502,4.0,2.0,5000.0,No
1503,2.0,2.0,1314.0,Yes
1504,2.0,2.0,1804.0,No
1505,2.0,2.5,1346.0,No
1506,2.0,2.0,1030.0,No
1507,2.0,2.0,1529.0,No
1508,1.0,1.0,,No
1509,1.0,1.0,,No
1510,1.0,1.0,,No
1511,1.0,1.0,695.0,No
1512,4.0,3.0,1773.0,Yes
1513,8.0,6.0,,No
1514,3.0,2.0,1900.0,No
1515,2.0,1.0,1438.0,No
1516,3.0,3.0,1415.0,No
1517,2.0,2.0,1450.0,No
1518,2.0,2.0,801.0,No
1519,3.0,2.0,1654.0,No
1520,2.0,2.0,1735.0,No
1521,1.0,2.0,1389.0,No
1522,1.0,1.0,780.0,No
1523,2.0,,950.0,Yes
1524,4.0,4.0,,Yes
1525,1.0,2.0,824.0,Yes
1526,4.0,4.0,3000.0,Yes
1527,3.0,3.0,1334.0,No
1528,1.0,1.0,900.0,No
1529,4.0,4.0,4000.0,No
1530,1.0,1.0,775.0,No
1531,2.0,2.0,1193.0,Yes
1532,1.0,2.0,840.0,No
1533,2.0,2.0,990.0,No
1534,2.0,2.0,990.0,No
1535,,1.0,501.0,No
1536,1.0,1.0,825.0,No
1537,2.0,2.0,1291.0,No
1538,3.0,4.0,,No
1539,2.0,2.0,1099.0,No
1540,1.0,1.0,889.0,No
1541,4.0,4.0,2000.0,Yes
1542,1.0,2.0,760.0,Yes
1543,1.0,1.0,775.0,Yes
1544,3.0,3.0,1450.0,No
1545,3.0,2.0,1565.0,No
1546,1.0,1.0,825.0,No
1547,3.0,3.0,2059.0,No
1548,3.0,2.0,1667.0,Yes
1549,5.0,3.0,,Yes
1550,2.0,3.0,,No
1551,1.0,2.0,621.0,No
1552,7.0,4.0,,Yes
1553,2.0,2.0,1221.0,Yes
1554,1.0,1.0,841.0,No
1555,2.0,1.0,,No
1556,2.0,2.0,725.0,No
1557,3.0,3.0,2233.0,Yes
1558,2.0,2.0,1308.0,No
1559,3.0,2.0,1361.0,Yes
1560,1.0,1.0,1001.0,No
1561,2.0,2.0,1110.0,No
1562,1.0,1.0,783.0,No
1563,2.0,3.0,1600.0,No
1564,4.0,2.0,,Yes
1565,2.0,,1145.0,No
1566,2.0,3.0,1312.0,No
1567,1.0,1.0,,No
1568,1.0,1.0,805.0,Yes
1569,1.0,1.0,600.0,No
1570,1.0,1.0,706.0,No
1571,2.0,3.0,,No
1572,4.0,2.0,,No
1573,1.0,1.0,840.0,No
1574,1.0,1.0,851.0,No
1575,2.0,2.0,1192.0,No
1576,2.0,2.0,1500.0,No
1577,,1.0,,No
1578,4.0,3.0,2795.0,Yes
1579,2.0,2.0,977.0,No
1580,2.0,2.0,1121.0,No
1581,1.0,2.0,906.0,No
1582,6.0,7.0,4254.0,No
1583,1.0,1.0,532.0,Yes
1584,3.0,3.0,2166.0,Yes
1585,1.0,1.0,836.0,Yes
1586,4.0,2.5,1812.0,Yes
1587,3.0,2.5,1789.0,No
1588,1.0,1.0,1071.0,No
1589,5.0,3.5,3422.0,No
1590,2.0,2.0,1268.0,No
1591,1.0,1.0,756.0,No
1592,4.0,3.0,2415.0,No
1593,2.0,1.0,987.0,No
1594,3.0,2.0,1322.0,No
1595,2.0,2.5,1071.0,No
1596,5.0,3.5,3717.0,No
1597,1.0,1.0,800.0,No
1598,9.0,9.0,7375.0,No
1599,1.0,1.0,665.0,No
1600,5.0,3.5,2564.0,No
1601,1.0,1.0,1100.0,Yes
1602,4.0,3.0,2768.0,No
1603,1.0,1.0,627.0,No
1604,3.0,2.5,1502.0,No
1605,3.0,2.0,2300.0,Yes
1606,3.0,2.0,1819.0,No
1607,2.0,1.0,667.0,No
1608,2.0,2.0,905.0,No
1609,2.0,2.0,974.0,No
1610,1.0,1.0,250.0,No
1611,4.0,4.0,3571.0,No
1612,,1.0,493.0,Yes
1613,1.0,1.5,1008.0,No
1614,3.0,2.0,,No
1615,3.0,2.0,,Yes
1616,1.0,1.0,780.0,No
1617,10.0,8.0,,No
1618,5.0,3.0,,No
1619,3.0,2.0,1026.0,No
1620,1.0,1.0,779.0,No
1621,4.0,2.5,1868.0,No
1622,2.0,2.0,1291.0,No
1623,3.0,2.0,1344.0,No
1624,2.0,2.0,1190.0,No
1625,1.0,1.0,544.0,No
1626,2.0,1.0,896.0,No
1627,1.0,1.0,,No
1628,2.0,2.0,1138.0,No
1629,1.0,1.0,686.0,No
1630,2.0,1.5,1021.0,No
1631,1.0,1.0,350.0,No
1632,6.0,4.0,,No
1633,1.0,1.0,671.0,No
1634,9.0,6.0,,No
1635,3.0,2.0,1250.0,No
1636,3.0,2.5,1678.0,No
1637,1.0,1.0,1228.0,No
1638,3.0,2.0,,No
1639,2.0,2.0,1190.0,No
1640,3.0,3.0,1760.0,No
1641,1.0,2.0,,No
1642,1.0,1.0,768.0,No
1643,5.0,3.0,2864.0,No
1644,3.0,2.0,,No
1645,9.0,5.0,,No
1646,2.0,1.5,825.0,No
1647,4.0,2.0,,Yes
1648,1.0,1.0,,No
1649,5.0,3.0,2455.0,No
1650,1.0,1.0,,No
1651,4.0,2.0,1938.0,No
1652,3.0,2.0,2001.0,No
1653,2.0,1.5,825.0,No
1654,5.0,5.0,,No
1655,3.0,2.0,1191.0,No
1656,2.0,2.0,1165.0,No
1657,1.0,1.0,,No
1658,3.0,2.5,1639.0,No
1659,7.0,4.0,,No
1660,2.0,2.0,1112.0,No
1661,3.0,2.0,2300.0,Yes
1662,2.0,2.0,,No
1663,5.0,5.0,2303.0,No
1664,1.0,2.0,,No
1665,3.0,2.5,1615.0,No
1666,1.0,1.0,660.0,No
1667,1.0,1.0,680.0,No
1668,2.0,2.0,1823.0,No
1669,3.0,2.0,1245.0,No
1670,1.0,1.5,765.0,No
1671,2.0,2.0,971.0,No
1672,2.0,2.0,1127.0,No
1673,4.0,3.0,2248.0,No
1674,1.0,1.0,350.0,Yes
1675,3.0,2.0,1200.0,Yes
1676,2.0,2.0,800.0,Yes
1677,3.0,2.0,1500.0,No
1678,2.0,3.0,,No
1679,3.0,2.0,,No
1680,2.0,2.0,,No
1681,3.0,1.5,1402.0,No
1682,3.0,2.0,1494.0,No
1683,1.0,1.0,400.0,No
1684,5.0,5.0,,Yes
1685,3.0,2.0,,No
1686,3.0,2.0,,No
1687,,1.0,735.0,No
1688,3.0,2.0,1300.0,No
1689,3.0,2.0,1070.0,No
1690,3.0,2.0,,No
1691,1.0,1.0,700.0,No
1692,2.0,2.0,,No
1693,3.0,2.0,2066.0,No
1694,1.0,2.0,,No
1695,6.0,4.0,,No
1696,3.0,1.0,1000.0,No
1697,3.0,2.0,,No
1698,1.0,1.0,,No
